VTD1,NAME1,VTD2,NAME2
270532290,New Hope P-1,270532480,Plymouth W-3 P-17
270532290,New Hope P-1,270532295,New Hope P-2
270532505,Plymouth W-4 P-22,270532510,Plymouth W-4 P-23
270532330,New Hope P-7,270532335,New Hope P-8
270532330,New Hope P-7,270532500,Plymouth W-4 P-21
270530395,Brooklyn Park W-W P-1,270530400,Brooklyn Park W-W P-2
270530395,Brooklyn Park W-W P-1,270531250,Maple Grove P-13
270530395,Brooklyn Park W-W P-1,270531245,Maple Grove P-12
270530395,Brooklyn Park W-W P-1,270530420,Brooklyn Park W-W P-6
270531025,Golden Valley P-8,270532485,Plymouth W-3 P-18
270531025,Golden Valley P-8,270532490,Plymouth W-3 P-19
270531010,Golden Valley P-5,270531015,Golden Valley P-6
270531010,Golden Valley P-5,270531025,Golden Valley P-8
270532295,New Hope P-2,270532310,New Hope P-4
270532295,New Hope P-2,270532315,New Hope P-5
270531570,Minneapolis W-5 P-4,270531580,Minneapolis W-5 P-6
270531570,Minneapolis W-5 P-4,270531585,Minneapolis W-5 P-7
270531580,Minneapolis W-5 P-6,270531585,Minneapolis W-5 P-7
270531580,Minneapolis W-5 P-6,270531675,Minneapolis W-7 P-7
270531580,Minneapolis W-5 P-6,270531595,Minneapolis W-5 P-9
270531585,Minneapolis W-5 P-7,270531595,Minneapolis W-5 P-9
270531555,Minneapolis W-5 P-1,270532675,Robbinsdale W-4
270531555,Minneapolis W-5 P-1,270531570,Minneapolis W-5 P-4
270531555,Minneapolis W-5 P-1,270531565,Minneapolis W-5 P-3
270531555,Minneapolis W-5 P-1,270531590,Minneapolis W-5 P-8
270531540,Minneapolis W-4 P-8,270532675,Robbinsdale W-4
270531540,Minneapolis W-4 P-8,270532655,Robbinsdale W-2
270531540,Minneapolis W-4 P-8,270531555,Minneapolis W-5 P-1
270531540,Minneapolis W-4 P-8,270531590,Minneapolis W-5 P-8
270531540,Minneapolis W-4 P-8,270531560,Minneapolis W-5 P-2
270531540,Minneapolis W-4 P-8,270531545,Minneapolis W-4 P-9
270531565,Minneapolis W-5 P-3,270531570,Minneapolis W-5 P-4
270531565,Minneapolis W-5 P-3,270531585,Minneapolis W-5 P-7
270531565,Minneapolis W-5 P-3,270531590,Minneapolis W-5 P-8
270531565,Minneapolis W-5 P-3,270531575,Minneapolis W-5 P-5
270531575,Minneapolis W-5 P-5,270531585,Minneapolis W-5 P-7
270531575,Minneapolis W-5 P-5,270531595,Minneapolis W-5 P-9
270531600,Minneapolis W-5 P-10,270531565,Minneapolis W-5 P-3
270531600,Minneapolis W-5 P-10,270531590,Minneapolis W-5 P-8
270531600,Minneapolis W-5 P-10,270531575,Minneapolis W-5 P-5
270531600,Minneapolis W-5 P-10,270531560,Minneapolis W-5 P-2
270531560,Minneapolis W-5 P-2,270531590,Minneapolis W-5 P-8
270531550,Minneapolis W-4 P-10,270531540,Minneapolis W-4 P-8
270531550,Minneapolis W-4 P-10,270531560,Minneapolis W-5 P-2
270531550,Minneapolis W-4 P-10,270531545,Minneapolis W-4 P-9
270531500,Minneapolis W-3 P-9,270531575,Minneapolis W-5 P-5
270531500,Minneapolis W-3 P-9,270531600,Minneapolis W-5 P-10
270531500,Minneapolis W-3 P-9,270531595,Minneapolis W-5 P-9
270531595,Minneapolis W-5 P-9,270531675,Minneapolis W-7 P-7
270531495,Minneapolis W-3 P-8,270531600,Minneapolis W-5 P-10
270531495,Minneapolis W-3 P-8,270531560,Minneapolis W-5 P-2
270531495,Minneapolis W-3 P-8,270531500,Minneapolis W-3 P-9
270531490,Minneapolis W-3 P-7,270531530,Minneapolis W-4 P-6
270531490,Minneapolis W-3 P-7,270531550,Minneapolis W-4 P-10
270531490,Minneapolis W-3 P-7,270531545,Minneapolis W-4 P-9
270531490,Minneapolis W-3 P-7,270531495,Minneapolis W-3 P-8
